# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 103, mean track length: 2
47 -3.2744504294230801 0.51010344812629249 11.979393450263647 55 58 63 0.34267000601361125 38 301 37 365
48 -3.2042531941536829 0.67787272041793911 12.010485632572626 28 36 21 0.1271480590684394 38 281 37 368
49 -2.553540447602372 0.67309954597377186 12.123994965540879 40 46 62 0.080382008258707352 38 302 37 369
50 -2.9623817395539391 -0.74719437204413086 11.728156348577356 51 56 62 0.15789527887598953 38 306 37 370
51 -2.6835769673624927 -0.15289595435175338 11.896611359682371 55 39 40 0.52281992380276177 38 317 37 375
52 -2.5357300140456669 -0.12683514747459596 11.947350617560394 52 36 37 0.15027716029280638 38 318 37 376
53 -3.1113479884844017 0.385113244670449 11.945570078749769 63 61 23 0.22946083689440178 38 324 37 377
54 -3.4295552578886905 0.44079091439631191 11.985728455262498 63 64 68 0.13213932978508153 38 298 37 378
55 -2.866625249076316 0.72789675344033944 12.049461002170801 55 36 40 0.42204283064765069 38 328 37 380
56 -2.5860633574503571 0.7177908374218932 12.111041642262951 37 45 56 0.13949023866865323 38 329 37 381
57 -2.7094223292884747 -0.81024004872813615 11.756216450233211 87 78 71 0.324009710667016 38 333 37 390
58 -2.8347881295856538 -0.0097634223734975947 11.88909077212201 50 57 65 0.46749161471061029 38 344 37 395
59 -2.2391990909348256 -0.80262811869182271 11.945428597373315 71 66 62 1.2054589269500102 38 353 37 403
60 -2.2553047810812479 -0.54398354080582167 11.99237486444577 41 44 18 0.17013643230921144 38 368 37 407
61 -2.2546794105058621 -0.44902896586198071 12.02392075495527 69 62 56 0.15062445676570041 38 355 37 408
62 -2.8359033405016478 0.32042802917259117 11.954407204022301 106 96 87 0.48195070923711752 38 359 37 416
63 -2.5322140161592763 0.60925110696826623 12.111675550319157 110 98 86 0.017627998111838621 38 360 37 419
64 -2.7620788165525458 -0.53844469898271086 11.779795842176476 90 83 73 0.45298133554422315 38 367 37 421
65 -2.0259782273412505 -0.31816561613082883 12.191805041192985 49 31 31 0.35447209678222763 38 395 37 422
66 -2.3482941733297169 -0.12921766087066738 12.025647007041455 76 48 47 0.04023808113689234 38 371 37 423
67 -3.3705543838943224 -0.030299730099039617 11.879805093568597 33 44 28 0.3024664285560309 38 373 37 424
68 -3.3705543838943224 -0.030299730099039617 11.879805093568597 33 44 28 0.3024664285560309 38 374 37 425
69 -2.9171207942431128 0.28067739938214281 11.923146821207782 44 53 34 1.239298706160334 38 379 37 429
70 -3.4839036867414901 0.52356517553305004 12.034846710672399 93 84 77 0.76501367551050126 38 382 37 433
71 -2.1732185548463705 0.45910049272189762 12.171883618799596 70 32 31 2.342398691041383 38 414 37 435
